"gene_name" "tau" "alpha" "sigma" "theta_r1" "theta_r2" "theta_r4"
"1" "BM1_1" 0 0.286877585088105 1.11639640091352 9.76972065582723 9.66767616251405 9.07411589208845
"2" "BM1_2" 0 0.267831692991468 2.45941888406887 7.58856513213416 6.97758144722467 8.57315914583983
"3" "BM1_3" 0 0.20160224013951 0.834139103705883 7.36461379210794 6.22494577082652 8.63930561966455
"4" "BM1_4" 0 0.224700028037798 0.246181470169247 9.14429407064473 9.46829129261029 9.22188555051573
"5" "BM1_5" 0 0.33131402361475 2.39441193659865 3.71799577648993 3.08113171334539 3.77012025376263
"6" "BM1_6" 0 0.221354268295749 0.441565934751798 9.30939887943274 9.78961499234563 9.85799370966369
"7" "BM1_7" 0 0.257877313564034 3.05653897822667 5.91392311835002 8.49421698425625 7.51485695955082
"8" "BM1_8" 0 0.22202318127798 0.232208158756084 8.36994049075158 9.06415924565139 8.25960674356562
"9" "BM1_9" 0 0.280869239326921 4.99928941685889 3.35745946860211 4.90518752131096 4.51488256176378
"10" "BM1_10" 0 0.341197189478995 0.590747759752217 5.21799044216138 4.61997625413157 5.44817610374797
"11" "BM1_11" 0 0.309699973601321 0.880336176867493 7.46531976436806 8.70802338088337 7.83486784444671
"12" "BM1_12" 0 0.22289184615854 0.63658691471264 8.71518859835387 9.77078678366249 8.00316029543941
"13" "BM1_13" 0 0.282356777116139 0.664843669603998 8.37784477076527 7.90280512663572 8.45586552853386
"14" "BM1_14" 0 0.294250364328852 2.69421728850951 4.25610142264428 4.46251438276306 6.64425613459847
"15" "BM1_15" 0 0.226090393378188 0.808786755601635 8.60870208591962 9.69116505919099 9.7529419809032
"16" "BM1_16" 0 0.280900704272382 1.08702456749899 5.09627067371593 3.63868916324167 5.80034629281955
"17" "BM1_17" 0 0.235691856218806 0.347466406240039 7.34108016842639 8.14256962524453 6.63954309772426
"18" "BM1_18" 0 0.212657785999103 0.384084328030628 8.92918577702911 8.19483195284234 8.57040181617247
"19" "BM1_19" 0 0.262762943500249 2.28081656623364 4.47570735814568 3.01508338165362 4.32115666189446
"20" "BM1_20" 0 0.23701147052939 1.05622877278155 6.49874547335773 8.45412205894793 8.90143781680543
"21" "BM1_21" 0 0.213886079638801 2.37479197765664 6.53939515289807 8.40331052992214 7.29925900882308
"22" "BM1_22" 0 0.21216883674064 0.36673322215039 9.46781698279879 8.97426856688982 8.83497615484802
"23" "BM1_23" 0 0.226326649934281 0.668158097156355 7.68008703143951 7.64877601914644 8.00915551425351
"24" "BM1_24" 0 0.241262442123759 0.639376008775394 6.43398913015752 7.75090461712392 6.34528006674984
"25" "BM1_25" 0 0.24610306269732 2.01650094025235 6.26759224268155 6.95076677345948 5.01737045988062
"26" "BM1_26" 0 0.271810940829132 1.08133036512263 8.0648240982248 6.39165160050904 8.75697500602985
"27" "BM1_27" 0 0.207349257321705 0.443603147649017 8.80453737468863 9.57088833840069 7.95920172673341
"28" "BM1_28" 0 0.295481747991468 1.30925682730458 1.08709056132371 2.05869911301587 1.3613782688098
