"gene_name" "tau" "alpha" "sigma" "theta_1"
"1" "BM1_1" 0 0.283397326455336 1.11045319090146 9.63830727149495
"2" "BM1_2" 0 0.268360136450871 2.49035177686679 7.29193571120073
"3" "BM1_3" 0 0.184384831994981 0.808393601214269 6.71030306984797
"4" "BM1_4" 0 0.223920489240992 0.246808324795392 9.36047357730899
"5" "BM1_5" 0 0.320565048197997 2.33970538880073 3.32370616982406
"6" "BM1_6" 0 0.211473103503388 0.428839454359059 9.67497065141961
"7" "BM1_7" 0 0.236651102906439 2.94825478453435 7.69187966134394
"8" "BM1_8" 0 0.203070288354543 0.223069052579271 8.8225131386143
"9" "BM1_9" 0 0.278381216893946 5.0186955762111 4.44317003170832
"10" "BM1_10" 0 0.319411631140296 0.573904337772667 4.87114071678262
"11" "BM1_11" 0 0.272419940478385 0.821482713618978 8.29243993339292
"12" "BM1_12" 0 0.200105865524719 0.60668145395787 9.35301184529005
"13" "BM1_13" 0 0.273073941880137 0.652944926757631 8.09010011923696
"14" "BM1_14" 0 0.283076798566414 2.67562170998614 4.61242981222064
"15" "BM1_15" 0 0.216285096873661 0.797449833041257 9.41097228639607
"16" "BM1_16" 0 0.241245126394001 1.01500083686889 4.24767473393814
"17" "BM1_17" 0 0.215332679539169 0.340938402374801 7.8058506421731
"18" "BM1_18" 0 0.207669008067227 0.38206696704425 8.42098677039413
"19" "BM1_19" 0 0.247133194685162 2.20610898797791 3.52593454745347
"20" "BM1_20" 0 0.220170877523923 1.05760404278731 7.96906888200478
"21" "BM1_21" 0 0.201143889886703 2.2898967334296 7.81211833042657
"22" "BM1_22" 0 0.209486418906666 0.366363826534385 9.09316507378496
"23" "BM1_23" 0 0.226531697621848 0.667739296887019 7.68877150391256
"24" "BM1_24" 0 0.216609931312643 0.612413823009956 7.2773608633632
"25" "BM1_25" 0 0.247695536774622 2.05903464686779 6.60043325507398
"26" "BM1_26" 0 0.235840267297932 1.03121931963168 7.09152866010645
"27" "BM1_27" 0 0.197087318516665 0.441199920658667 9.2468832076987
"28" "BM1_28" 0 0.290572234654535 1.31297269324069 1.72452640378648
"29" "BM1_29" 0 0.279750914394403 1.84243245151207 7.74835044615328
"30" "BM1_30" 0 0.2890809236183 2.05095995811641 5.31026178071052
"31" "OU1_1" 0 0.770747355575125 0.559569881714342 8.09966039108919
"32" "OU1_2" 0 0.651509311892259 0.657350240909988 8.1855998781088
"33" "OU1_3" 0 0.632783817427907 0.873190251742892 6.12223406044004
"34" "OU1_4" 0 0.380906067115136 0.0271661053447706 9.48940059247803
"35" "OU1_5" 0 0.691628734526717 2.85854965393059 2.03847773996332
