"","iter","ll_total","objective","sigma","alpha","tau","converge","settings","gene_name","regime","model","param.count","dataset","ntips","AIC","AICc","delta_AIC","delta_AICc","AIC_weight","AICc_weight","truth","AICc_next_worse","AIC_next_worse"
"1",1,-392.812624254269,-627.755207696467,0.491648979430739,1e-10,0,NA,"BM1_1_BM1","BM1_1","BM1","BM1",3,"exampleSM",256,791.625248508537,791.720486603775,0,0,0.999999999943819,0.999999999946239,"BM1",0.792771031716597,0.55065972936427
"2",1,-415.56545457344,-729.576336872376,1.11045319090146,0.283397326455336,0,NA,"BM1_1_OU1","BM1_1","OU1","OU1",4,"exampleSM",256,839.130909146879,839.29027169668,47.5056606383421,47.5697850929048,4.83366850254018e-11,4.6811484561049e-11,"BM1",3.36119940587389,3.18321255808428
"3",1,-415.383851198142,-728.947990971638,1.11639640091352,0.286877585088105,0,NA,"BM1_1_OUM","BM1_1","OUM","OUM",6,"exampleSM",256,842.767702396283,843.105051793873,51.1424538877459,51.3845651900982,7.84435505622631e-12,6.94997818571464e-12,"BM1",1.24460660062311,1.24460660062311
"4",1,-306.862203074958,-368.404815638164,0.251203720285892,1e-10,0,NA,"BM1_10_BM1","BM1_10","BM1","BM1",3,"exampleSM",256,619.724406149916,619.819644245154,0,0,0.999999835169033,0.99999984598388,"BM1",2.03194399295876,2.03194399295876
"5",1,-322.013307643202,-458.343056688298,0.573904337772667,0.319411631140296,0,NA,"BM1_10_OU1","BM1_10","OU1","OU1",4,"exampleSM",256,652.026615286405,652.185977836206,32.302209136489,32.3663335910517,9.67529772330402e-08,9.37000654176212e-08,"BM1",0.881001156900879,0.703014309111268
"6",1,-320.364814797758,-454.431812131188,0.590747759752217,0.341197189478995,0,NA,"BM1_10_OUM","BM1_10","OUM","OUM",6,"exampleSM",256,652.729629595516,653.066978993107,33.0052234456002,33.2473347479526,6.80779892903109e-08,6.03160543115941e-08,"BM1",14.167195623714,14.4093069260663
"7",1,-363.063969810015,-541.653490590972,0.389642077280052,1e-10,0,NA,"BM1_11_BM1","BM1_11","BM1","BM1",3,"exampleSM",256,732.12793962003,732.223177715268,0,0,0.999999975245123,0.999999976435089,"BM1",0.638353122195667,0.39624181984334
"8",1,-379.801719927495,-638.920159489044,0.821482713618978,0.272419940478385,0,NA,"BM1_11_OU1","BM1_11","OU1","OU1",4,"exampleSM",256,767.60343985499,767.76280240479,35.4755002349601,35.5396246895228,1.97967086624059e-08,1.91720496042149e-08,"BM1",2.94694533565291,2.7689584878633
"9",1,-379.186199171426,-633.646503995588,0.880336176867493,0.309699973601321,0,NA,"BM1_11_OUM","BM1_11","OUM","OUM",6,"exampleSM",256,770.372398342853,770.709747740443,38.2444587228234,38.4865700251758,4.95816865998176e-09,4.39286134065767e-09,"BM1",10.8504010067945,10.8504010067945
"10",1,-336.328595554883,-594.120468444074,0.316243584569219,1e-10,0,NA,"BM1_12_BM1","BM1_12","BM1","BM1",3,"exampleSM",256,678.657191109766,678.752429205004,0,0,0.999999999984113,0.99999999998478,"BM1",7.26949449502695,7.20537004046423
"11",1,-360.329296767555,-710.742716684185,0.60668145395787,0.200105865524719,0,NA,"BM1_12_OU1","BM1_12","OU1","OU1",4,"exampleSM",256,728.658593535109,728.81795608491,50.0014024253436,50.0655268799063,1.38782088760678e-11,1.34403002645819e-11,"BM1",3.40522163035757,3.46934608492029
"12",1,-360.262090719936,-706.320739475154,0.63658691471264,0.22289184615854,0,NA,"BM1_12_OUM","BM1_12","OUM","OUM",6,"exampleSM",256,732.524181439873,732.861530837463,53.8669903301072,54.1091016324596,2.00877674224384e-12,1.7797453631908e-12,"BM1",6.10694345673744,6.28493030452705
"13",1,-333.585085525864,-458.1018253793,0.309366641709819,1e-10,0,NA,"BM1_13_BM1","BM1_13","BM1","BM1",3,"exampleSM",256,673.170171051728,673.265409146966,0,0,0.999999976018416,0.999999976990175,"BM1",0.985305400101879,0.985305400101879
"14",1,-350.246190820508,-555.20256525814,0.652944926757631,0.273073941880137,0,NA,"BM1_13_OU1","BM1_13","OU1","OU1",4,"exampleSM",256,708.492381641015,708.651744190816,35.3222105892874,35.3863350438501,2.13736855526941e-08,2.06992670619988e-08,"BM1",4.38521817942762,4.20723133163801
"15",1,-350.349806486327,-554.069905967596,0.664843669603998,0.282356777116139,0,NA,"BM1_13_OUM","BM1_13","OUM","OUM",6,"exampleSM",256,712.699612972653,713.036962370243,39.5294419209254,39.7715532232777,2.60789883356783e-09,2.31055834310176e-09,"BM1",9.193511118365,9.37149796615461
"16",1,-510.9415978149,-1190.96691685228,1.23736018118591,1e-10,0,NA,"BM1_14_BM1","BM1_14","BM1","BM1",3,"exampleSM",256,1027.8831956298,1027.97843372504,0,0,0.999999977206105,0.999999978837075,"BM1",1.44329175463804,1.37916730007555
"17",1,-528.20208517436,-1287.33723300888,2.67562170998614,0.283076798566414,0,NA,"BM1_14_OU1","BM1_14","OU1","OU1",4,"exampleSM",256,1064.40417034872,1064.56353289852,36.5209747189188,36.5850991734812,1.1737378049872e-08,1.13670205554e-08,"BM1",0.297503706333373,0.119516858543875
"18",1,-526.261843603632,-1283.98698518235,2.69421728850951,0.294250364328852,0,NA,"BM1_14_OUM","BM1_14","OUM","OUM",6,"exampleSM",256,1064.52368720726,1064.86103660485,36.6404915774626,36.8826028798146,1.10565169729113e-08,9.79590436002506e-09,"BM1",3.42626694520823,3.60425379299772
"19",1,-361.294533786156,-629.614108090768,0.3843236314113,1e-10,0,NA,"BM1_15_BM1","BM1_15","BM1","BM1",3,"exampleSM",256,728.589067572313,728.684305667551,0,0,0.999999999999933,0.999999999999936,"BM1",0.133650417359377,0.0695259627966607
"20",1,-390.896551155654,-748.685204271453,0.797449833041257,0.216285096873661,0,NA,"BM1_15_OU1","BM1_15","OU1","OU1",4,"exampleSM",256,789.793102311309,789.952464861109,61.2040347389961,61.2681591935589,5.12522246772274e-14,4.96350281971307e-14,"BM1",1.76802174266584,1.83214619722855
"21",1,-390.087954118951,-746.108560480142,0.808786755601635,0.226090393378188,0,NA,"BM1_15_OUM","BM1_15","OUM","OUM",6,"exampleSM",256,792.175908237901,792.513257635492,63.586840665589,63.8289519679413,1.55701568883179e-14,1.37949200343514e-14,"BM1",1.18163220984309,1.42374351219541
"22",1,-393.799825875048,-702.706972132025,0.495383719911258,1e-10,0,NA,"BM1_16_BM1","BM1_16","BM1","BM1",3,"exampleSM",256,793.599651750097,793.694889845335,0,0,0.999999999643599,0.999999999666692,"BM1",4.9298242749112,4.9298242749112
"23",1,-415.070820304617,-809.133134143635,1.01500083686889,0.241245126394001,0,NA,"BM1_16_OU1","BM1_16","OU1","OU1",4,"exampleSM",256,838.141640609234,838.301003159034,44.5419888591367,44.6061133136994,2.12730623304019e-10,2.06018188533844e-10,"BM1",0.963000496438099,0.785013648648487
"24",1,-413.463327128941,-801.763996173646,1.08702456749899,0.280900704272382,0,NA,"BM1_16_OUM","BM1_16","OUM","OUM",6,"exampleSM",256,838.926654257882,839.264003655472,45.3270025077852,45.5691138101375,1.43670123363292e-10,1.2728952427286e-10,"BM1",0.0262680412075724,0.204254888997184
"25",1,-253.417916702584,-331.886966057867,0.165465303550436,1e-10,0,NA,"BM1_17_BM1","BM1_17","BM1","BM1",3,"exampleSM",256,512.835833405169,512.931071500407,0,0,0.999999999999609,0.999999999999646,"BM1",1.38729195856001,1.38729195856001
"26",1,-279.268600304933,-443.800849779232,0.347466406240039,0.235691856218806,0,NA,"BM1_17_OUM","BM1_17","OUM","OUM",6,"exampleSM",256,570.537200609865,570.874550007456,57.7013672046967,57.943478507049,2.95329827932048e-13,2.61657694864862e-13,"BM1",2.07304900408997,2.25103585187958
"27",1,-282.394118230872,-450.509441102045,0.340938402374801,0.215332679539169,0,NA,"BM1_17_OU1","BM1_17","OU1","OU1",4,"exampleSM",256,572.788236461745,572.947599011546,59.9524030565763,60.016527511139,9.58299116703188e-14,9.28061249602384e-14,"BM1",7.59143589247185,7.59143589247185
"28",1,-269.735569579026,-372.29171247705,0.18796181425271,1e-10,0,NA,"BM1_18_BM1","BM1_18","BM1","BM1",3,"exampleSM",256,545.471139158052,545.56637725329,0,0,0.999999999999912,0.999999999999916,"BM1",3.31889733215257,3.25477287758986
"29",1,-299.066750583407,-492.732207129637,0.38206696704425,0.207669008067227,0,NA,"BM1_18_OU1","BM1_18","OU1","OU1",4,"exampleSM",256,606.133501166814,606.292863716615,60.662362008762,60.7264864633247,6.71947682133018e-14,6.50745257590509e-14,"BM1",2.4943588241614,2.31637197637178
"30",1,-298.224936571593,-490.930395555448,0.384084328030628,0.212657785999103,0,NA,"BM1_18_OUM","BM1_18","OUM","OUM",6,"exampleSM",256,608.449873143186,608.787222540776,62.9787339851338,63.2208452874861,2.11028774314632e-14,1.86968255201187e-14,"BM1",0.989999620224239,0.989999620224239
"31",1,-495.506417865897,-1232.1307065135,1.09665290443019,1e-10,0,NA,"BM1_19_BM1","BM1_19","BM1","BM1",3,"exampleSM",256,997.012835731793,997.108073827031,0,0,0.999999987983842,0.999999988462434,"BM1",10.7377768097617,10.7377768097617
"32",1,-512.849185146821,-1333.69547866583,2.20610898797791,0.247133194685162,0,NA,"BM1_19_OU1","BM1_19","OU1","OU1",4,"exampleSM",256,1033.69837029364,1033.85773284344,36.6855345618485,36.7496590164112,1.08102909264711e-08,1.04691864322093e-08,"BM1",4.56458728321695,4.38660043542745
