"gene_name" "tau" "alpha" "sigma" "theta_1"
"1" "BM1_1" 0 1e-10 0.491648979430739 9.58897989653909
"2" "BM1_2" 0 1e-10 1.14346221361024 7.30114956162768
"3" "BM1_3" 0 1e-10 0.433401624289733 6.66045319679431
"4" "BM1_4" 0 1e-10 0.12069496333445 9.32020125534391
"5" "BM1_5" 0 1e-10 1.03502655950639 3.44933758871026
"6" "BM1_6" 0 1e-10 0.216756778389535 9.63515580562986
"7" "BM1_7" 0 1e-10 1.38521192334843 7.87767044575828
"8" "BM1_8" 0 1e-10 0.116672083521805 8.75131771057594
"9" "BM1_9" 0 1e-10 2.31901032759409 4.24830685971003
"10" "BM1_10" 0 1e-10 0.251203720285892 4.87867842742642
"11" "BM1_11" 0 1e-10 0.389642077280052 8.1544627365462
"12" "BM1_12" 0 1e-10 0.316243584569219 9.16551302496488
"13" "BM1_13" 0 1e-10 0.309366641709819 7.85144644518908
"14" "BM1_14" 0 1e-10 1.23736018118591 4.52911266110517
"15" "BM1_15" 0 1e-10 0.3843236314113 9.44851633505596
"16" "BM1_16" 0 1e-10 0.495383719911258 4.23350614161302
"17" "BM1_17" 0 1e-10 0.165465303550436 7.59765714375524
"18" "BM1_18" 0 1e-10 0.18796181425271 8.38490493107034
"19" "BM1_19" 0 1e-10 1.09665290443019 3.6185504172346
"20" "BM1_20" 0 1e-10 0.522653344763511 7.94537194384914
"21" "BM1_21" 0 1e-10 1.16848518216821 7.84603331341163
"22" "BM1_22" 0 1e-10 0.178970051662315 9.00721977690694
"23" "BM1_23" 0 1e-10 0.32777936157133 7.62366887987457
"24" "BM1_24" 0 1e-10 0.310712843431663 7.26548236326917
"25" "BM1_25" 0 1e-10 0.967683430677848 6.53420942845373
"26" "BM1_26" 0 1e-10 0.505022753852501 6.99333162340624
"27" "BM1_27" 0 1e-10 0.226293778552765 9.20424203375955
"28" "BM1_28" 0 1e-10 0.584812139553789 1.70307841985065
"29" "BM1_29" 0 1e-10 0.863201672160342 7.93091301937329
"30" "BM1_30" 0 1e-10 0.963870592594627 5.37946281911643
"31" "OU1_1" 0 1e-10 0.160616959485506 8.1240926297237
"32" "OU1_2" 0 1e-10 0.20363551135862 8.19376088322725
"33" "OU1_3" 0 1e-10 0.270532509859383 6.10495765349333
"34" "OU1_4" 0 1e-10 0.01073828214277 9.45658919973816
"35" "OU1_5" 0 1e-10 0.857134306231195 1.98309753755717
"36" "OU1_6" 0 1e-10 0.0479793361280509 10.9004801416905
