arm,k,accuracy,recall_BM1,recall_OU1,recall_OUX
log-norm only,0,0.5888888888888889,0.03333333333333333,0.7666666666666667,0.9666666666666667
log-norm + smoothing k=4,4,0.8555555555555555,0.9333333333333333,0.7,0.9333333333333333
log-norm + smoothing k=8,8,0.8888888888888888,0.8333333333333334,0.8666666666666667,0.9666666666666667
log-norm + smoothing k=16,16,0.7888888888888889,0.6666666666666666,0.7333333333333333,0.9666666666666667
log-norm + smoothing k=32,32,0.7444444444444445,0.5333333333333333,0.7333333333333333,0.9666666666666667
