shift,tp_rate,fp_rate,excess,oracle_rank,pooled_winner_is_true,true_branch_rank,pooled_margin
0.05,0.1,0.07,0.03,24,False,37,13.886323627604725
0.1,0.18,0.06666666666666667,0.11333333333333333,2,False,24,29.542001605612427
0.15,0.32,0.07333333333333333,0.24666666666666667,1,False,12,12.055155937192922
0.2,0.43,0.06666666666666667,0.36333333333333334,1,True,1,81.42113835942553
0.3,0.58,0.04666666666666667,0.5333333333333333,1,True,1,303.888393622409
0.5,0.77,0.06,0.71,1,True,1,882.1085135181218
1.0,0.88,0.06,0.8200000000000001,1,True,1,2435.825056363763
