scenario,same_partition_as_truth,overlap_with_true,n_regimes,pct_OUX_NULL-BM1,median_gain_NULL-BM1,pct_OUX_NULL-OU1,median_gain_NULL-OU1,pct_OUX_SIGNAL,median_gain_SIGNAL
"true (b1,b2)",True,1.0,3,0.13333333333333333,-5.679627827754075,0.16666666666666666,-2.7722790190373416,1.0,82.25170434998583
parent(b1) + b2,True,0.5,3,0.13333333333333333,-5.679627827754075,0.16666666666666666,-2.7722790190373416,1.0,82.25170434998583
parent(b1) only,False,0.5,2,0.03333333333333333,-7.146440151497956,0.13333333333333333,-1.6181171033626356,0.5,-0.01084719455531058
sibling(b1) + b2,False,0.0,2,0.03333333333333333,-8.078516917443778,0.1,-1.5354839031942902,0.8666666666666667,27.066490596696596
child(b1) + b2,False,0.5,3,0.1,-7.7928250403321755,0.13333333333333333,-2.5058671188562016,0.9666666666666667,40.576194703094146
distant clade + b2,False,0.0,3,0.16666666666666666,-6.477650605523905,0.2,-2.6405260578456478,0.9,30.52252065711479
both wrong,False,0.0,3,0.1,-6.7466162499119235,0.13333333333333333,-2.378430805921596,0.4666666666666667,-1.6151807926349022
shuffled tip labels,False,1.0,3,0.0,-10.388068460563602,0.0,-3.3706654858874003,0.0,-11.385893896272929
