,v_phylo,v_space,frac_heritable
Aldob,0.027992734539005658,1.8742184576458876,0.014715892038703129
Alox15,0.5970005061970217,1.2211666698746139e-12,0.9999999999979545
Ankrd1,0.01955449582864526,1.9426922626416627,0.009965360240365076
Apoa5,0.7918065829832557,4.041110822308957e-13,0.9999999999994896
Arg1,1.0827448579391631e-19,4.285700295139788,2.5264129159172736e-20
Arhgef37,0.6353117990494975,6.052364988924985e-13,0.9999999999990474
Asprv1,0.3697506739449106,0.02818004818691396,0.9291835321586992
Azgp1,0.3399949051098725,0.0027376829892881006,0.9920121894317909
Batf3,0.05086190526908749,1.148612988431451,0.04240347633469158
Bcl11b,0.17871742530502155,1.0836780067903654e-13,0.9999999999993937
C1qa,0.14263568650979971,1.468475079894325e-16,0.999999999999999
C1qb,0.45342491600039925,0.059826657202073426,0.8834359983959125
C1qc,0.8431246746041337,9.244456051094454e-13,0.9999999999989035
Camk4,0.3265700393476653,0.5439865687793038,0.37512786221942696
Ccl24,0.5608594196831647,1.0197106197155788e-16,0.9999999999999998
Ccr2,0.8353198489511531,4.45688479115365e-12,0.9999999999946645
Ccr4,3.2590309814099783e-12,1.037958300624264,3.1398476985440087e-12
Ccr9,0.5528696206979272,6.756840786345401e-12,0.9999999999877787
Cd200r3,0.5030593023333713,2.2641182018732323e-10,0.9999999995499302
Cd22,0.22113178439310663,0.30559457434205023,0.4198228942331968
Cd247,0.5036740693267441,0.0370345111108866,0.9315074469857456
Cd28,0.29111764517935307,0.3380006461199767,0.4627391210929543
Cd300e,0.29416038351660273,3.056929747395224e-12,0.9999999999896079
Cd3g,0.7325100277898211,0.2401611275522662,0.7530911385279008
Cd4,6.733158111522741e-14,1.1059717230037496,6.088002045147681e-14
Cd79a,0.9562836656926945,1.3760229789121147e-07,0.9999998561072587
Cd8a,0.05641305915273643,0.934665525071722,0.056920873935421515
Cd8b1,0.018653472691153368,0.40321680275278665,0.04421613414579649
Cd96,0.7474216618398835,0.020890608356419336,0.972809742643988
Chil1,0.4181786800827693,3.513147148271589e-16,0.9999999999999992
Chst3,1.000528820797083,0.027771968643953794,0.9729923686443439
Cldn4,0.011895112871362397,0.32083661238072764,0.03574986082962246
