,v_phylo,v_space,frac_heritable
Aldob,0.02754103135609066,1.2698955228100977,0.021227266387442125
Alox15,0.36475942548464557,0.8004752476042604,0.31303516270907855
Ankrd1,0.19580148433303604,1.8520166561442692,0.09561468397159459
Apoa5,1.3259316196697069,6.10041878049907e-11,0.9999999999539916
Arg1,0.015026177238411159,3.8149380932627452,0.0039233204743304205
Arhgef37,0.6073840966293009,0.42855469119989104,0.5863127278997569
Asprv1,0.7428806057482034,0.6603815760619354,0.5293954439717916
Azgp1,0.4621667964888427,1.0136136277097576e-15,0.9999999999999979
Batf3,0.05145048545391012,1.9566963281761194,0.02562087846600497
Bcl11b,0.4689300024039697,8.858945497939698e-20,1.0
C1qa,0.025480730192682294,0.8247958625717109,0.029967578091077546
C1qb,0.03672823778121355,1.2682612568586236,0.028144470075868424
C1qc,0.18445491047352028,0.9009603911709421,0.16993947864385292
Camk4,0.0035388225922557428,1.254283969442022,0.0028134508411414637
Ccl24,0.2648696477432056,0.03314282311334605,0.8887871268672534
Ccr2,0.46593478821810075,0.19854544902314902,0.7012018749459602
Ccr4,0.32219609012150785,0.2958466745409193,0.5213168223035347
Ccr9,0.3639595743610139,0.15958242993493127,0.6951869599278164
Cd200r3,0.6887425956693626,0.0349140656179515,0.9517532726696071
Cd22,0.2471118069759528,5.972519192623502e-16,0.9999999999999976
Cd247,0.4288371697257002,0.02949673384986758,0.935643569852117
Cd28,0.3647825233655727,0.0016610137080367061,0.9954672042484323
Cd300e,0.5437304228676867,1.4548727471350759e-11,0.9999999999732428
Cd3g,0.7534664442254764,0.2329181361154594,0.7638668114266819
Cd4,1.033145169344648,0.5225280063047116,0.6641145360839682
Cd79a,0.3968382801487821,0.004621673675032156,0.9884878338897523
Cd8a,1.2604655163878091,0.17403620730571134,0.8786782863825308
Cd8b1,0.1296831161001746,0.3385669842659304,0.2769526712301414
Cd96,0.3524504216648662,0.6524749495349558,0.3507229807961371
Chil1,0.5270256542950061,0.40599385284102973,0.5648602738358018
Chst3,0.3880722190953406,0.0425145097142407,0.9012637713387541
Cldn4,0.0026468825022393262,0.5008915159201816,0.005256565359329048
Cldn5,0.3587743054929526,0.45668908099776234,0.4399637205502392
Clec14a,0.457579165340234,0.4783040813394211,0.4889276167338632
Col5a2,0.4734101874612483,1.8176028064969005,0.20663793208930892
Col6a6,0.42659760696503585,0.01938790368449391,0.9565279516452059
Cpa3,0.2566902994514596,0.21235933681310906,0.5472561528790373
Cr2,0.2587682830602018,0.3697243926981448,0.41172839882019147
Csrp3,0.49820406004866236,0.016404739399412043,0.9681219220949849
Cxcl14,0.3229609438814595,0.6268800623758208,0.34001579396329
Cxcl3,0.4830034878897857,0.011379660773320156,0.9769821022336772
Cxcr2,0.3846379308512145,0.23691050030965943,0.618838229762436
Cyp11a1,0.39831354128575613,0.3201124752804766,0.5544252742815795
Cyp2j5,0.19796460700689752,0.018354285077045434,0.9151517239191341
Cyp4b1,0.30489016843608796,0.46446567373582404,0.39629278381168187
Dab2,0.3928590792281901,0.618328716043254,0.38851248112891895
Ebf1,0.9844777298497344,0.3126805638392258,0.7589495704876539
Enpp1,0.26146051086340405,1.0379664064789096,0.20121217082232135
Eomes,0.7313173103507641,1.0365505605665472e-13,0.9999999999998582
Fasl,0.10390188494320958,0.5717333734478577,0.15378398870218477
Fcer1a,0.7764249889283347,0.04906482072909903,0.940562778419445
Fcer2a,0.4701404180704832,1.5231806500077294e-14,0.9999999999999677
Fcmr,0.41981337937795554,0.005224432654025214,0.987708310869923
Fermt1,0.04872578584145089,0.8565584586610779,0.0538237422526078
Fgfbp1,0.0047546110395680985,0.8567486810640462,0.005518970250198712
Flt3,0.8175382060400649,4.4322387996915655e-16,0.9999999999999994
Foxp3,0.4724530217376838,0.12335885574565028,0.7929567025976234
Fscn1,0.03385082012488027,0.26153500357931636,0.11459866184634147
Ftcd,0.4907988441063007,0.007117084160223567,0.9857062532925962
Fxyd3,0.5255349304004473,0.5685231746023989,0.4803537654876933
Fzd2,0.08911101547813935,0.41050160662055923,0.17836021656901904
Galnt18,0.6095216289179157,0.06699604756605994,0.9009692578703126
Gata2,0.8186450029037554,0.01687816419312888,0.9797992864138358
Gjb1,0.34614437098681605,0.08157717072967068,0.8092750474939985
Gpihbp1,1.0179996094208468,0.3174882646033847,0.7622679540723227
Gpr39,0.09922047840062312,0.9381271335862228,0.09564824486421171
