n,theta_mean,theta_sd,theta_pred_sd,sigma_mean,sigma_sd,tau_mean,tau_sd,rhat,div,secs
32,1.8929538630549998,0.27533893251412056,0.443353696274205,0.5474271973803,0.27032861269939185,0.494970149341175,0.15762133881283463,1.003,0,0.6201229095458984
64,2.64853577453,0.4536567005261879,0.40677850238182445,1.0904204792074998,0.16139679530108972,0.2748515393654875,0.14685872584238635,1.0021,0,0.39864659309387207
128,2.405320173565,0.3755229411747987,0.37741780088990423,1.00817260257,0.11383494240455981,0.22907548201421424,0.10933491915777574,1.0051,0,0.66963791847229
256,1.774056162585,0.400837716612028,0.35335998818485387,1.15414689961,0.07943281690738432,0.15523169954527752,0.08962473359303257,1.0039,0,1.2357571125030518
