rep,div,theta_cov50,theta_cov90,theta_mean,theta_sd,theta_rank,sigma_cov50,sigma_cov90,sigma_mean,sigma_sd,sigma_rank,tau_cov50,tau_cov90,tau_mean,tau_sd,tau_rank
127,0,0,1,1.617680579964286,0.34386506274153655,0.8592857142857143,0,1,0.9033078784285713,0.10549538514593258,0.8164285714285714,0,1,0.22015208697777858,0.10258922207342466,0.7628571428571429
128,0,0,0,1.373728659107143,0.23787683726428663,0.9957142857142857,0,0,0.598976823157143,0.13393136600036687,0.9971428571428571,0,0,0.5167131894357143,0.06612066261823235,0.002142857142857143
129,0,1,1,1.9894436971285716,0.37118256767684626,0.5128571428571429,1,1,0.947701313442857,0.12245048961910798,0.64,1,1,0.25592473984885716,0.10948014319902036,0.6192857142857143
130,0,1,1,1.998523366714286,0.3186869742509726,0.5035714285714286,0,1,0.8565675134142858,0.1405579532868786,0.8364285714285714,0,1,0.3660298819507143,0.09590267623596115,0.22428571428571428
131,0,0,0,2.6585817715714284,0.34194104082689136,0.024285714285714285,0,1,0.8952997894571428,0.12428501881191298,0.8085714285714286,0,1,0.3537646451827143,0.09390840460147183,0.21785714285714286
132,0,0,1,2.4537180929214286,0.3878149585281917,0.11785714285714285,1,1,1.005078441357143,0.11172395954475062,0.4692857142857143,1,1,0.23099702972442857,0.10739428676535248,0.7185714285714285
133,0,1,1,2.1714463867285714,0.32865559077853895,0.31214285714285717,0,1,0.9092127076285713,0.1071299472913189,0.79,0,1,0.2035276816797143,0.10324518011907576,0.8085714285714286
134,0,1,1,2.2822702751357142,0.4523985360272419,0.2592857142857143,0,1,1.168492546892857,0.10314107290730413,0.062142857142857146,0,1,0.17265631457559286,0.10628782073261464,0.8685714285714285
135,0,1,1,2.177314020764286,0.42165886918877465,0.335,0,1,1.0987741897500003,0.06971643886731009,0.07142857142857142,0,0,0.08776545820354287,0.06222423354108911,0.9957142857142857
136,0,0,0,1.608808761592857,0.2361597447685855,0.9578571428571429,0,0,0.6191160151785714,0.09778393980320575,0.9992857142857143,0,0,0.43574821788571433,0.05399887798181216,0.011428571428571429
137,0,0,1,2.5459244627142854,0.3878689800399143,0.08142857142857143,0,1,1.0735276293285714,0.09926197131394696,0.22,0,1,0.1708615176194793,0.10517564312704569,0.8657142857142858
138,0,1,1,2.061249289664286,0.36907313684372267,0.44785714285714284,1,1,0.9906213753,0.13600679089298476,0.5414285714285715,1,1,0.32879121356214286,0.11182082065373791,0.35214285714285715
139,0,0,1,2.4045652056428573,0.35554514374781837,0.11785714285714285,1,1,0.9365756038285714,0.12186002065584825,0.6914285714285714,1,1,0.3153089583166429,0.09915631065730429,0.38357142857142856
140,0,0,0,1.3090968023000003,0.36250765069970803,0.9671428571428572,1,1,0.9741926939928571,0.12402602791349034,0.595,1,1,0.3003279299242143,0.10728551753618598,0.44571428571428573
141,0,0,1,2.6676940337142856,0.4185654837750084,0.055,0,1,1.12117306455,0.11872869519637713,0.16785714285714284,1,1,0.21764246696944287,0.12227184630691028,0.7207142857142858
