"gene_name" "tau" "alpha" "sigma" "theta_r1" "theta_r2" "theta_r4"
"1" "BM1_1" 0.266744240966138 0.453607624158189 1.10628684342557 6.64172963632397 6.52692821928151 6.21043124901362
"2" "BM1_2" 0.422867277673578 0.437219473639029 2.71070134918872 5.0083384653528 4.80972609248734 5.85853533908494
"3" "BM1_3" 0.327263392389616 0.279458827482503 0.686208099784651 5.02295907627737 4.12232474609988 5.83761146987411
"4" "BM1_4" 0.136828747640538 0.333253023616026 0.223515035806396 6.2357971346335 6.36184640424268 6.16303745314295
"5" "BM1_5" 0.374808662398902 0.586333656416502 3.27199834315935 2.52705510794754 2.0469885964239 2.77085963410157
"6" "BM1_6" 0.197692051925635 0.336550330163729 0.391359951849756 6.12157563590297 6.68901768341326 6.430454538939
"7" "BM1_7" 0.490600696596819 0.416944715279993 3.05860707629281 4.00764865628454 5.7978600550987 5.25635827563137
"8" "BM1_8" 0.147719536646555 0.326818830209312 0.212219058257128 5.67174459327133 6.13861827086209 5.4559368269791
"9" "BM1_9" 0.592284508529061 0.432523268975382 5.33651593496115 2.32075427485066 3.31398603166766 3.21540778863916
"10" "BM1_10" 0.182739299564126 0.577914791820361 0.769312190895738 3.50784536286592 3.12933341411542 3.6782004887751
"11" "BM1_11" 0.24239706074042 0.546562215202237 1.09387900619855 5.0663804501069 5.89961705390326 5.06066331673865
"12" "BM1_12" 0.255258331019406 0.300901591017823 0.487759348131861 5.82504405342412 6.6326838975496 5.18506881489078
"13" "BM1_13" 0.215478021492237 0.465084010387411 0.777932887700114 5.69935084355978 5.29834781935204 5.67450874850094
"14" "BM1_14" 0.429972742515298 0.492204689945526 3.3140662028137 2.88713637136479 2.96029738998064 4.49586458440801
"15" "BM1_15" 0.26361075235365 0.342202550426312 0.724046189565712 5.798610946514 6.56652500114111 6.48814439008374
"16" "BM1_16" 0.292408295883771 0.447078825498325 1.15116179859478 3.4303956809836 2.41253899275362 3.91098977840231
"17" "BM1_17" 0.171354004733023 0.341780271020775 0.259193107796493 5.04905811272668 5.45718042056282 4.48422038016244
"18" "BM1_18" 0.185066068007076 0.317072016747326 0.339436253792036 5.98719773964625 5.53460482250531 5.6251406838179
"19" "BM1_19" 0.435529943775602 0.416668207018065 2.5160442818705 3.13215456766286 1.98774678664292 3.05619036208439
"20" "BM1_20" 0.31291650137819 0.35619204167786 0.983485636662914 4.4856101430893 5.75199191243048 5.63148635114875
"21" "BM1_21" 0.502313113575717 0.314646725014528 2.11450571654311 4.32960117987428 5.81177383972185 5.00420720729126
"22" "BM1_22" 0.178247137932752 0.321667729836694 0.319086610121144 6.40423186156979 6.07333224278986 5.87715002240798
"23" "BM1_23" 0.237194020033733 0.347535859041024 0.651666578460361 5.10593328002288 5.21749248013304 5.24134684677581
"24" "BM1_24" 0.243256850507797 0.370780817608407 0.629782626252608 4.3377576948115 5.27470672867177 4.26958432469577
