"gene_name" "tau" "alpha" "sigma" "theta_1"
"1" "BM1_1" 0.2688150853348 1e-10 0.365583095368974 6.47356223112794
"2" "BM1_2" 0.425874893131199 1e-10 0.897388380059963 4.91094873541985
"3" "BM1_3" 0.329991781708532 1e-10 0.230405057211196 4.51849358207385
"4" "BM1_4" 0.146086850116964 1e-10 0.0746913694277543 6.33393366592757
"5" "BM1_5" 0.380175180296887 1e-10 0.982043291867649 2.35510703127651
"6" "BM1_6" 0.204193177649511 1e-10 0.129246389116335 6.55073975919714
"7" "BM1_7" 0.492625102007254 1e-10 0.976480555212609 5.35794584298476
"8" "BM1_8" 0.158619723843786 1e-10 0.0667557655017068 5.9379284800675
"9" "BM1_9" 0.594687184180667 1e-10 1.82709010758441 2.93197591744727
"10" "BM1_10" 0.193653227773493 1e-10 0.223354206058433 3.31630064794749
"11" "BM1_11" 0.249434100858421 1e-10 0.319938827191618 5.53983511415125
"12" "BM1_12" 0.258041862515829 1e-10 0.164035661568694 6.26425622416581
"13" "BM1_13" 0.222525245564614 1e-10 0.247476944520154 5.33587699205139
"14" "BM1_14" 0.434225141296377 1e-10 1.07051027310289 3.06079674312146
"15" "BM1_15" 0.2665597114209 1e-10 0.247259272645527 6.39520579640512
"16" "BM1_16" 0.298090227149805 1e-10 0.357910952126462 2.89087009234716
"17" "BM1_17" 0.167797000939432 1e-10 0.0972416281796159 5.18661093831202
"18" "BM1_18" 0.190267825395995 1e-10 0.115745909813467 5.70707305518689
"19" "BM1_19" 0.439139525602436 1e-10 0.860830364003983 2.44713068875401
"20" "BM1_20" 0.315796909197629 1e-10 0.345735734750829 5.39131955613134
"21" "BM1_21" 0.504680698241838 1e-10 0.70908977627543 5.32626032461021
"22" "BM1_22" 0.181142040634052 1e-10 0.111179808097088 6.11257451097439
"23" "BM1_23" 0.243817418979841 1e-10 0.221095794812164 5.17471172012715
"24" "BM1_24" 0.250286190532647 1e-10 0.203012697480024 4.90779726417418
"25" "BM1_25" 0.399222420396172 1e-10 0.680322401766545 4.46881365685906
