"gene_name" "tau" "alpha" "sigma" "theta_1"
"1" "BM1_1" 0.266679631032651 0.449845845676623 1.1035083833071 6.5235634799491
"2" "BM1_2" 0.422728579394101 0.431117553352701 2.71444453579927 4.97659054490335
"3" "BM1_3" 0.327041823603807 0.244887447095705 0.642860555950515 4.53032397750668
"4" "BM1_4" 0.136881482988387 0.331783168747437 0.223529431449344 6.30670295258346
"5" "BM1_5" 0.375005082764764 0.565151600183653 3.19904475855532 2.25421771030401
"6" "BM1_6" 0.197724855249421 0.299172903416774 0.358378283462486 6.50677790141539
"7" "BM1_7" 0.490333798266182 0.363496976980354 2.83320316311294 5.23891750817905
"8" "BM1_8" 0.147680238234428 0.289662442483575 0.199244742128354 5.94185153414345
"9" "BM1_9" 0.592200954144815 0.424324324185522 5.30511456585485 3.03198790181926
"10" "BM1_10" 0.183518105514085 0.54134577622491 0.745336794418784 3.29079129784184
"11" "BM1_11" 0.242712708161484 0.441989037098231 0.950782286406753 5.58953308896992
"12" "BM1_12" 0.255181556841615 0.258197848330037 0.45271709286548 6.26545407072199
"13" "BM1_13" 0.215299883073209 0.437245639217188 0.746041110585202 5.4491803886678
"14" "BM1_14" 0.429902447558932 0.464377103615717 3.23226588522876 3.11304799022552
"15" "BM1_15" 0.263476226999651 0.320077239661535 0.700579258883696 6.34594391848932
"16" "BM1_16" 0.292679683273147 0.360354784572882 1.01627952974824 2.85895954400354
"17" "BM1_17" 0.169938094020938 0.304278421283756 0.252917189561878 5.24612304755024
"18" "BM1_18" 0.184802372087417 0.306391155921513 0.334917492086526 5.66901214186374
"19" "BM1_19" 0.435495437195673 0.376511607935149 2.35580434764357 2.41103889361427
"20" "BM1_20" 0.312963641455305 0.321695031439507 0.951859184935014 5.38873142992501
"21" "BM1_21" 0.502317106489035 0.287928272393765 2.00187788173409 5.31653825042454
"22" "BM1_22" 0.177692197848565 0.312235194659236 0.316618186790663 6.14560290336635
"23" "BM1_23" 0.237173960176608 0.346386123282793 0.650137940726997 5.18910151056142
"24" "BM1_24" 0.243258331752115 0.317386365326536 0.581333822455647 4.91416772424292
"25" "BM1_25" 0.396143947568248 0.368989724627567 1.94415124434118 4.43775951618797
"26" "BM1_26" 0.294726456988369 0.341214397579642 0.943037492308412 4.75768389183944
"27" "BM1_27" 0.211107632761409 0.289975877963795 0.385293367447471 6.21070966980023
"28" "BM1_28" 0.291095179541337 0.476484398021047 1.5603006743864 1.19640994202376
"29" "BM1_29" 0.361628073484864 0.477923501923027 2.43993377273627 5.26649722502131
"30" "BM1_30" 0.379789477420283 0.507457875992567 2.82083037696521 3.61604545911571
"31" "OU1_1" 0.112753323974018 0.935162276307576 0.659364336336405 5.49234556749969
"32" "OU1_2" 0.134748823811742 0.893129068654829 0.83126563058488 5.5468118630127
"33" "OU1_3" 0.160599833171325 0.950985259954512 1.10374956996008 4.16054842230885
"34" "OU1_4" 0.05 0.880697256453801 0.01 6.42425764497899
"35" "OU1_5" 0.287098380284261 0.89910039875659 3.43645137674727 1.39444816203587
"36" "OU1_6" 0.05 0.874044230574413 0.176964043705649 7.39652685627143
"37" "OU1_7" 0.274644155664228 0.917165393962742 3.26394081995397 5.24983748824042
"38" "OU1_8" 0.0656137954823255 0.878264672257158 0.250769420332942 6.08651629410515
"39" "OU1_9" 0.362279990404518 0.891821998665589 5.06896920340348 2.26318063076314
"40" "OU1_10" 0.131461826805887 0.932344995712905 0.764489507445665 2.66873385112057
"41" "OU1_11" 0.05 0.776081390284972 0.0348164825800043 6.57045823219557
"42" "OU1_12" 0.05 1.00323135645413 0.01 7.09466243424567
"43" "OU1_13" 0.050000118478218 0.866812656173342 0.118788477087839 5.95080122452108
"44" "OU1_14" 0.258801318465278 0.89085149357191 2.75305965500252 2.51426403320834
"45" "OU1_15" 0.0708205408971316 0.934186636954855 0.306273934250838 6.27278817824706
"46" "OU1_16" 0.186074765381637 0.790502428284081 1.26058169915337 3.00994875023731
"47" "OU1_17" 0.05 0.761412206383977 0.0212360558255252 5.47847042375688
"48" "OU1_18" 0.05 0.904146568271234 0.189371195351554 6.18818616254303
"49" "OU1_19" 0.2513489655475 0.90897559160254 2.51474450011713 0.964729231635552
"50" "OU1_20" 0.0604255052870287 0.892270267877761 0.24027069055142 5.91600921231312
"51" "OU1_21" 0.05 0.771854890692014 0.0131726207504724 7.32636858483666
"52" "OU1_22" 0.0627693121857893 0.870827339778756 0.209338503665257 6.43851436880878
"53" "OU1_23" 0.0845628299663795 0.831628444402054 0.343719738821661 5.4904022939831
"54" "OU1_24" 0.0962055224065195 0.859099677639087 0.424427913627072 5.39430814047758
"55" "OU1_25" 0.107840126009575 0.888856538863686 0.566040169761654 4.92029782005424
