"gene_name" "tau" "alpha" "sigma" "theta_R0" "theta_R1" "theta_R2"
"1" "BM1_0" 0 0.572460772900864 1.12001652826266 7.3214594795247 8.60980428347499 11.6651121601353
"2" "BM1_1" 0 0.82040133716672 0.853940338856852 11.9071324900445 12.2068549550536 10.971542552276
"3" "BM1_2" 0 0.695915968588982 0.822107035876632 10.5237691952467 9.57753016218762 11.6363442518546
"4" "BM1_3" 0 0.97884991204967 0.820429640451169 10.6979468394492 11.9441606544544 11.442134528892
"5" "BM1_4" 0 0.854610888624895 0.783410076288833 13.0009292002802 11.9327086248425 10.8642278605818
"6" "BM1_5" 0 0.77160910362772 0.860128733437034 10.8295807286379 11.4224074406345 11.2945212614418
"7" "BM1_6" 0 0.688490925923952 0.79184731082356 13.6793981622206 8.8509627957353 11.2359431722686
"8" "BM1_7" 0 0.719146638502762 0.838644969092998 12.2870020931853 10.8515024350912 11.2131137705824
"9" "BM1_8" 0 0.701653780951856 0.803401018171003 12.4146762044624 10.4812065954435 11.2631392990795
"10" "BM1_9" 0 0.689856513683863 0.816388267825104 7.4240582397975 13.313001469959 11.2667639583727
"11" "BM1_10" 0 0.806749596272562 0.722569961553964 9.3832749113033 7.5120993185228 12.131846497061
"12" "BM1_11" 0 0.842834388334976 0.63508783812526 12.4432338081564 12.3156536543865 10.9595470823359
"13" "BM1_12" 0 0.863613639608499 0.565052903908404 11.9826403739011 14.3394997956138 10.44452893351
"14" "BM1_13" 0 0.634851281074969 0.875073850827328 9.04144122081365 8.81854548896465 11.7874141357154
"15" "BM1_14" 0 0.788309933685363 0.701700068589458 13.3126127143713 10.1743250093271 11.1545944334281
"16" "BM1_15" 0 0.802649828473499 0.710711260190874 8.51238571352292 14.5075305720201 10.6730230226421
"17" "BM1_16" 0 0.774103424980143 0.757922997839238 12.7026363368286 12.9099441239309 10.7053540691406
"18" "BM1_17" 0 0.935323925124689 0.71123144235237 14.1500689743695 12.3514152963703 10.2744905335317
"19" "BM1_18" 0 0.773117617218048 0.789343941989799 10.5779155503747 12.8471178272002 11.1459086141398
"20" "BM1_19" 0 0.782263433618215 0.784867611817387 15.8335997669161 12.676281511727 9.77299102810453
"21" "BM1_20" 0 0.730473298906945 0.906578132022719 9.56754403536143 7.56324580758097 11.8787562837417
"22" "BM1_21" 0 0.765788601113104 0.835383771108679 8.61272906971017 10.673043292806 11.7761011012691
"23" "BM1_22" 0 0.791367270568785 0.790054999645952 10.3082303907269 10.6512829755677 11.5785338406291
"24" "BM1_23" 0 0.827754562526592 0.604199920162836 10.9676338277076 9.51306953858516 11.8341721397574
"25" "BM1_24" 0 0.78846740110165 0.800355181526065 8.89577286523937 7.42854350296597 12.1593719654659
"26" "BM1_25" 0 0.751731150270219 0.78728549319912 8.28138743643816 8.25833830084701 12.0210659008472
"27" "BM1_26" 0 0.829778583624865 0.740389328481772 11.4842593750738 11.1941844289537 11.3887485519691
"28" "BM1_27" 0 0.767187928039613 0.668853754178631 11.8757306834358 10.6934308335919 11.4559459527768
"29" "BM1_28" 0 0.661099969728134 0.842019980688714 9.62445468082455 6.66302183879904 12.0360793132906
"30" "BM1_29" 0 0.693212926406707 0.648499231221849 13.5264456982242 10.2088020806358 11.1982276025043
"31" "OU1_0" 0 0.818562420062625 0.658325857182696 11.3024225601158 11.1392959121862 11.5125023390596
"32" "OU1_1" 0 0.728725748067279 0.491825997057428 11.4897138451165 12.5843826128659 11.2243661386884
"33" "OU1_2" 0 0.787979510700752 0.57710785190598 14.006317256562 12.4275761083414 10.5664468817862
"34" "OU1_3" 0 0.910411141744182 0.51549188041858 10.4620920582515 11.2184401484365 11.7051250578375
"35" "OU1_4" 0 0.790147605346862 0.502431574428298 9.03452722962746 10.1979370678749 11.9496836361645
"36" "OU1_5" 0 0.797182862065344 0.496067344352968 11.470837464533 13.1755393875864 11.0736392624003
"37" "OU1_6" 0 0.852673814847862 0.6309112921521 11.1034056202976 12.4971734269255 11.2427259025623
"38" "OU1_7" 0 0.841751449658511 0.548225638734716 10.6269274465523 11.8846528084524 11.5154170275966
"39" "OU1_8" 0 0.832893293630044 0.565200527964543 11.6929865961219 12.8908238187174 11.0372609900849
"40" "OU1_9" 0 0.698354683793997 0.598177097265389 11.4234820383039 10.002460822664 11.6121484729843
"41" "OU1_10" 0 0.722539007358753 0.455463971205906 12.4062890544767 12.4044676610311 11.1280126881337
"42" "OU1_11" 0 0.754407442087368 0.614154720970592 10.5072013328334 10.5841272007889 11.6470882426953
"43" "OU1_12" 0 0.891662930011006 0.581079895143191 10.9907563995199 9.7998211265972 11.8588043796615
"44" "OU1_13" 0 0.739504748463691 0.521909220372405 11.2820898388434 12.0311251284387 11.3529934762957
"45" "OU1_14" 0 0.780187436779242 0.585696434403806 12.3146392778642 9.64573237818483 11.5624665316992
"46" "OU1_15" 0 0.918865137602578 0.594917260425834 10.4344936105694 11.3585379008602 11.6711123443035
"47" "OU1_16" 0 0.793163343923008 0.517669735404238 12.3312076721266 11.2187077677922 11.3481364599437
"48" "OU1_17" 0 0.744011732624774 0.504819676937529 13.0610875455409 11.1929760518391 11.1792741320131
"49" "OU1_18" 0 0.935895918605933 0.527532977460639 12.640089039748 10.7667742170786 11.3716044028495
"50" "OU1_19" 0 0.890311267685823 0.634090691073524 9.57784617796967 11.858704398976 11.5671647569279
"51" "OU1_20" 0 0.698374255549424 0.653027889502685 12.0453014587621 11.682998518071 11.1838879847076
"52" "OU1_21" 0 0.82165664052947 0.643480305293793 10.8411841609717 11.3100205090399 11.5825219655568
