"","iter","ll_total","objective","sigma","alpha","tau","converge","settings","gene_name","regime","model","param.count","dataset","ntips","AIC","AICc","delta_AIC","delta_AICc","AIC_weight","AICc_weight","truth","AICc_next_worse","AIC_next_worse"
"1",1,-104.732694359347,-181.905986184666,0.826549381928239,1e-10,0,NA,"BM1_0_BM1","BM1_0","BM1","BM1",3,"oursim",256,215.465388718693,215.560626813931,0,0,0.999947047743914,0.999952554461769,"BM1",6.17928746127885,6.11516300671616
"2",1,-111.708263436831,-217.816514308618,1.12001652826266,0.572460772900864,0,NA,"BM1_0_OUM","BM1_0","OUM","OUM",6,"oursim",256,235.416526873663,235.753876271253,19.9511381549697,20.193249457322,4.65202883863221e-05,4.12164885014223e-05,"BM1",0.0609133696516153,0.238900217441198
"3",1,-115.686871453539,-222.695898085663,1.17646250657402,0.529346681309655,0,NA,"BM1_0_OU1","BM1_0","OU1","OU1",4,"oursim",256,239.373742907078,239.533105456879,23.9083541883847,23.9724786429474,6.43196770010231e-06,6.22904972976099e-06,"BM1",2.92512051062974,2.98924496519243
"4",1,-86.3241269909829,-81.9539015938515,0.620013161064088,1e-10,0,NA,"BM1_1_BM1","BM1_1","BM1","BM1",3,"oursim",256,178.648253981966,178.743492077204,0,0,0.98920017071113,0.989809300753303,"BM1",0.709119791106787,0.467008488754516
"5",1,-90.2101997296363,-112.11089607603,0.860872671728303,0.7881833794637,0,NA,"BM1_1_OU1","BM1_1","OU1","OU1",4,"oursim",256,188.420399459273,188.579762009073,9.77214547730665,9.83626993186934,0.00746946942791166,0.00723823457287624,"BM1",0.423801100344377,0.487925554907065
"6",1,-89.0179433346976,-110.717809714997,0.853940338856852,0.82040133716672,0,NA,"BM1_1_OUM","BM1_1","OUM","OUM",6,"oursim",256,190.035886669395,190.373236066986,11.3876326874294,11.6297439897817,0.00333035986095842,0.00295246467382056,"BM1",0.0249847779306833,0.267096080282954
"7",1,-78.6501416352893,-155.71142377666,0.722569961553964,0.806749596272562,0,NA,"BM1_10_OUM","BM1_10","OUM","OUM",6,"oursim",256,169.300283270579,169.637632668169,0,0,0.890261452652855,0.877864494612159,"BM1",1.05665032855873,1.298761630911
"8",1,-83.7436283306249,-134.65472692615,0.595488895449264,1e-10,0,NA,"BM1_10_BM1","BM1_10","BM1","BM1",3,"oursim",256,173.48725666125,173.582494756488,4.18697339067111,3.94486208831884,0.109730624175919,0.122126965379215,"BM1",1.21475901053486,1.19409348895158
"9",1,-92.2796205678619,-172.024579737776,0.829441184627684,0.577806585890692,0,NA,"BM1_10_OU1","BM1_10","OU1","OU1",4,"oursim",256,192.559241135724,192.718603685525,23.2589578651452,23.0809710173556,7.92317122609795e-06,8.54000862603204e-06,"BM1",0.62345265958416,0.445465811794577
"10",1,-68.2578331577351,-59.656253469246,0.467526008138873,1e-10,0,NA,"BM1_11_BM1","BM1_11","BM1","BM1",3,"oursim",256,142.51566631547,142.610904410708,0,0,0.980591348839488,0.982214695127449,"BM1",0.394502733664496,0.304118482182247
"11",1,-69.6110327343087,-86.9632241494035,0.63508783812526,0.842834388334976,0,NA,"BM1_11_OUM","BM1_11","OUM","OUM",6,"oursim",256,151.222065468617,151.559414866208,8.7063991531472,8.94851045549947,0.0126158786426179,0.0111959789015092,"BM1",0.146782899357106,0.324769747146689
"12",1,-72.230129782675,-90.0090567555064,0.646792902353753,0.772958082311867,0,NA,"BM1_11_OU1","BM1_11","OU1","OU1",4,"oursim",256,152.46025956535,152.619622115151,9.94459324987972,10.0087177044424,0.00679277251789445,0.00658932597104185,"BM1",0.337592286912553,0.15960543912297
"13",1,-61.6684348885389,-114.823050348889,0.565052903908404,0.863613639608499,0,NA,"BM1_12_OUM","BM1_12","OUM","OUM",6,"oursim",256,135.336869777078,135.674219174668,0,0,0.978865904678188,0.976211036141717,"BM1",0.0487224980154508,0.290833800367722
"14",1,-68.5041205853532,-95.7965043355255,0.469328838056061,1e-10,0,NA,"BM1_12_BM1","BM1_12","BM1","BM1",3,"oursim",256,143.008241170706,143.103479265944,7.67137139362862,7.42926009127635,0.0211303197622583,0.0237848480874106,"BM1",0.0536549292984319,0.214016184120027
"15",1,-76.1340362311766,-131.831750233366,0.649689032936533,0.601870893241314,0,NA,"BM1_12_OU1","BM1_12","OU1","OU1",4,"oursim",256,160.268072462353,160.427435012154,24.9312026852754,24.7532158374858,3.77555955333406e-06,4.11577087220642e-06,"BM1",0.0475551234686975,0.560404546059942
