"gene_name" "tau" "alpha" "sigma" "theta_1"
"1" "BM1_0" 0 0.529346681309655 1.17646250657402 10.8740615617728
"2" "BM1_1" 0 0.7881833794637 0.860872671728303 11.2794314309238
"3" "BM1_2" 0 0.659669806767552 0.838419633972765 11.2267274462914
"4" "BM1_3" 0 0.932648394170796 0.830454195060224 11.4230737456414
"5" "BM1_4" 0 0.768616731874094 0.803852576505095 11.3092950638729
"6" "BM1_5" 0 0.767682938223409 0.861875696604151 11.2571276903191
"7" "BM1_6" 0 0.585898310105735 0.887907040850929 11.180801056752
"8" "BM1_7" 0 0.702995695901859 0.847680990749534 11.2855812135386
"9" "BM1_8" 0 0.678478957052933 0.819682462968057 11.2844481292001
"10" "BM1_9" 0 0.546986543653957 0.948670316157281 11.1093215588684
"11" "BM1_10" 0 0.577806585890692 0.829441184627684 11.0876249091832
"12" "BM1_11" 0 0.772958082311867 0.646792902353753 11.3611569762176
"13" "BM1_12" 0 0.601870893241314 0.649689032936533 11.264774250438
"14" "BM1_13" 0 0.58229423423435 0.908980810968089 11.1019130556246
"15" "BM1_14" 0 0.685114690420434 0.751603622879867 11.2704962850798
"16" "BM1_15" 0 0.547705329833163 0.901252757083414 10.9850319689689
"17" "BM1_16" 0 0.691261445120645 0.782456495689679 11.2762710360013
"18" "BM1_17" 0 0.629395735760483 0.784606959143204 11.1632756746319
"19" "BM1_18" 0 0.716273351690568 0.81662490707138 11.3289444003624
"20" "BM1_19" 0 0.533910253630374 0.94755785170796 10.9527626824758
"21" "BM1_20" 0 0.597737726881707 0.98622767561038 10.9907971133939
"22" "BM1_21" 0 0.67025721370712 0.878036366597379 11.2324906699054
"23" "BM1_22" 0 0.762875068815388 0.796924615829316 11.2826846740618
"24" "BM1_23" 0 0.718925429522193 0.632590795024829 11.3705197793957
"25" "BM1_24" 0 0.570586201736377 0.908039058913915 11.0476206593199
"26" "BM1_25" 0 0.572725858037996 0.856655128287891 11.0373047541815
"27" "BM1_26" 0 0.828141467680259 0.740809857436637 11.3707665439696
"28" "BM1_27" 0 0.749268616042097 0.675851115829614 11.3939122114383
"29" "BM1_28" 0 0.53463712501302 0.949954018794844 11.0549644481827
"30" "BM1_29" 0 0.619626445758683 0.69423986818812 11.322645996102
"31" "OU1_0" 0 0.815175742191714 0.659044415024392 11.4287651200019
"32" "OU1_1" 0 0.694453609849451 0.50034972414643 11.4502386008075
"33" "OU1_2" 0 0.617393168037453 0.62782358409513 11.2784599124729
"34" "OU1_3" 0 0.848853938445642 0.523126984555074 11.4574714409182
"35" "OU1_4" 0 0.646748075941315 0.539660531156154 11.3285148739289
"36" "OU1_5" 0 0.701237147827159 0.521766006097213 11.4407128196859
"37" "OU1_6" 0 0.801894886893282 0.643466423034491 11.4222839762974
"38" "OU1_7" 0 0.805173432716248 0.555566421822303 11.4592489989388
"39" "OU1_8" 0 0.747329354691974 0.582827064773813 11.4081947298884
"40" "OU1_9" 0 0.667381154440331 0.611170339472376 11.3675376225618
"41" "OU1_10" 0 0.6827599960635 0.463754991608554 11.4565914614504
"42" "OU1_11" 0 0.726565763221524 0.620616169289976 11.3570296284378
"43" "OU1_12" 0 0.771157690767698 0.605709223927766 11.4139828673289
"44" "OU1_13" 0 0.72886495024553 0.524970316868575 11.4421672088025
"45" "OU1_14" 0 0.683310028317757 0.623524330101331 11.3698922451704
"46" "OU1_15" 0 0.862915115055252 0.603168270697474 11.4513314204845
"47" "OU1_16" 0 0.766036610093564 0.524365537360061 11.4499846084808
"48" "OU1_17" 0 0.684145771795722 0.524245509078238 11.4042679470593
"49" "OU1_18" 0 0.819570783983733 0.549303826003664 11.4444318460251
"50" "OU1_19" 0 0.764695425540883 0.667856939328182 11.3483821859091
"51" "OU1_20" 0 0.690319052143831 0.655707456927647 11.3506669567436
"52" "OU1_21" 0 0.809989577808437 0.646023056895461 11.4467150203891
"53" "OU1_22" 0 0.87692927474975 0.521637200438961 11.4609101525413
"54" "OU1_23" 0 0.874363380092508 0.494393167149871 11.4963930210225
"55" "OU1_24" 0 0.826475968834114 0.419243515480537 11.4987406111898
"56" "OU1_25" 0 0.823806865357601 0.5230372556424 11.4558945952323
"57" "OU1_26" 0 0.646283769715127 0.568231334756933 11.3970813947423
"58" "OU1_27" 0 0.875898884276306 0.708306279815305 11.4017459635266
"59" "OU1_28" 0 0.808768395560839 0.543117534813415 11.4739180512679
"60" "OU1_29" 0 0.711221550536624 0.644542323753074 11.375081004415
"61" "OUM_0" 0 0.576336425197802 0.79822435180855 11.1819738216056
"62" "OUM_1" 0 0.643406547250857 0.541408110297274 11.4192803663755
