"gene_name" "tau" "alpha" "sigma" "theta_1"
"1" "BM1_0" 0 1e-10 0.826549381928239 10.8742022269074
"2" "BM1_1" 0 1e-10 0.620013161064088 11.2794042946693
"3" "BM1_2" 0 1e-10 0.60295230586295 11.2267004086266
"4" "BM1_3" 0 1e-10 0.608703485758261 11.4230463413538
"5" "BM1_4" 0 1e-10 0.582224747298693 11.3092678718131
"6" "BM1_5" 0 1e-10 0.619152160573467 11.2571005957705
"7" "BM1_6" 0 1e-10 0.629501371327896 11.1810166722525
"8" "BM1_7" 0 1e-10 0.606812949394977 11.2855540657886
"9" "BM1_8" 0 1e-10 0.589828609529706 11.284420983568
"10" "BM1_9" 0 1e-10 0.671711454753611 11.1089639966782
"11" "BM1_10" 0 1e-10 0.595488895449264 11.0878391260393
"12" "BM1_11" 0 1e-10 0.467526008138873 11.3611296873456
"13" "BM1_12" 0 1e-10 0.469328838056061 11.2647471415884
"14" "BM1_13" 0 1e-10 0.647766742693256 11.1015556789126
"15" "BM1_14" 0 1e-10 0.539869231338875 11.2704691655303
"16" "BM1_15" 0 1e-10 0.639579775232363 10.9846775231679
"17" "BM1_16" 0 1e-10 0.563414009691297 11.276243905655
"18" "BM1_17" 0 1e-10 0.567227961143767 11.1632487558382
"19" "BM1_18" 0 1e-10 0.588045193753731 11.3289171716076
"20" "BM1_19" 0 1e-10 0.679070443940642 10.9524090474226
"21" "BM1_20" 0 1e-10 0.707661291983849 10.9904425228183
"22" "BM1_21" 0 1e-10 0.631720449198229 11.2324636214533
"23" "BM1_22" 0 1e-10 0.573536165807622 11.282657531726
"24" "BM1_23" 0 1e-10 0.458957147063747 11.3704924730594
"25" "BM1_24" 0 1e-10 0.651312886885255 11.0472646429442
"26" "BM1_25" 0 1e-10 0.612269489934144 11.0375182142983
"27" "BM1_26" 0 1e-10 0.535262158174819 11.3707392371731
"28" "BM1_27" 0 1e-10 0.486621916378148 11.3938848614866
"29" "BM1_28" 0 1e-10 0.673150335272169 11.0546082476915
"30" "BM1_29" 0 1e-10 0.49340609453414 11.3226187791075
"31" "OU1_0" 0 1e-10 0.480179274236547 11.4287377051143
"32" "OU1_1" 0 1e-10 0.357444812568492 11.4502386008075
"33" "OU1_2" 0 1e-10 0.452514060554623 11.2784327780345
"34" "OU1_3" 0 1e-10 0.381589513469954 11.4574714409182
"35" "OU1_4" 0 1e-10 0.389572542970626 11.3284876459761
"36" "OU1_5" 0 1e-10 0.379181456435258 11.4407128196859
"37" "OU1_6" 0 1e-10 0.468969112726148 11.4222565734808
"38" "OU1_7" 0 1e-10 0.404303080692836 11.4592215273023
"39" "OU1_8" 0 1e-10 0.422804450907193 11.4081673533195
"40" "OU1_9" 0 1e-10 0.439326628326939 11.3675103217876
"41" "OU1_10" 0 1e-10 0.33407163144316 11.4565914614504
"42" "OU1_11" 0 1e-10 0.447942195291262 11.3570023472658
"43" "OU1_12" 0 1e-10 0.443032265781182 11.4139554799757
"44" "OU1_13" 0 1e-10 0.376389798798664 11.4421672088025
"45" "OU1_14" 0 1e-10 0.447898793470444 11.3698649400045
"46" "OU1_15" 0 1e-10 0.441547127327392 11.4513039635831
"47" "OU1_16" 0 1e-10 0.379587377203546 11.4499846084808
"48" "OU1_17" 0 1e-10 0.379727125743593 11.4042679470593
"49" "OU1_18" 0 1e-10 0.39866807933361 11.4444044019668
"50" "OU1_19" 0 1e-10 0.483490869523644 11.3483549208724
"51" "OU1_20" 0 1e-10 0.471147707895593 11.3506396874434
"52" "OU1_21" 0 1e-10 0.471469218681464 11.4466875720806
"53" "OU1_22" 0 1e-10 0.380604308333633 11.4609101525413
"54" "OU1_23" 0 1e-10 0.358282010129658 11.4963930210225
"55" "OU1_24" 0 1e-10 0.307015037982871 11.4987406111898
"56" "OU1_25" 0 1e-10 0.381053206506666 11.4558945952324
"57" "OU1_26" 0 1e-10 0.409279599491285 11.3970540388836
"58" "OU1_27" 0 1e-10 0.515827862114919 11.4017185989745
"59" "OU1_28" 0 1e-10 0.396070352317452 11.4738905523388
"60" "OU1_29" 0 1e-10 0.470114042043948 11.3750536895722
"61" "OUM_0" 0 1e-10 0.568548129820867 11.1819468677625
"62" "OUM_1" 0 1e-10 0.389846654038013 11.4192529691537
"63" "OUM_2" 0 1e-10 0.783943940097194 10.522081589874
"64" "OUM_3" 0 1e-10 0.508611641875836 11.2544512259605
"65" "OUM_4" 0 1e-10 0.680133195482428 10.9236109389388
"66" "OUM_5" 0 1e-10 1.0198876768408 10.5261102757982
"67" "OUM_6" 0 1e-10 0.49283365563593 11.26732796141
"68" "OUM_7" 0 1e-10 0.601167467623405 11.0757652586675
"69" "OUM_8" 0 1e-10 0.610287902759601 11.1310268079073
"70" "OUM_9" 0 1e-10 0.662266634200965 10.8586728105999
"71" "OUM_10" 0 1e-10 0.491797467648875 10.9885025126
"72" "OUM_11" 0 1e-10 0.474888483186728 11.3392944257428
"73" "OUM_12" 0 1e-10 0.398620682658968 11.4606641638423
"74" "OUM_13" 0 1e-10 0.619809930898934 10.7952486732389
"75" "OUM_14" 0 1e-10 0.461395694928212 11.3951209253859
"76" "OUM_15" 0 1e-10 0.901853468484479 10.1590560614662
"77" "OUM_16" 0 1e-10 0.493849027339117 11.089547185424
"78" "OUM_17" 0 1e-10 0.928552132538151 10.4401505073707
"79" "OUM_18" 0 1e-10 0.563017464185664 11.3491155906997
"80" "OUM_19" 0 1e-10 0.515148691616868 11.2647278204158
"81" "OUM_20" 0 1e-10 0.499533826981767 11.3002049775842
"82" "OUM_21" 0 1e-10 0.458950676800539 11.0317187417224
"83" "OUM_22" 0 1e-10 0.466812929982384 11.2959690749322
"84" "OUM_23" 0 1e-10 0.467249459615804 11.4483566933528
"85" "OUM_24" 0 1e-10 0.536627479743979 11.242981333688
"86" "OUM_25" 0 1e-10 0.483504198311261 11.2976229882042
"87" "OUM_26" 0 1e-10 0.452310765489243 11.2519169406981
"88" "OUM_27" 0 1e-10 0.413093441277022 11.3968301996161
"89" "OUM_28" 0 1e-10 0.454178189602472 11.2591268507272
"90" "OUM_29" 0 1e-10 0.435257020386229 11.3882243826886
